,FILE,A,A1,F,F1,F2,F3,F4,FAIR,I,I1,I2,I3,R,R1,R1.1,R1.2,R1.3
0,https___www.kaggle.com_datasets_imdevskp_corona-virus-report.json,3,3,3.5,1,0.5,1,1,14.5,3,1,1,1,5,2,1,1,1
1,https___data.opendatasoft.com_explore_dataset_donnees-hospitalieres-covid-19-dep-france@public_table_?disjunctive.countrycode_iso_3166_1_alpha3&disjunctive.nom_dep_min.json,1,1,2.5,1,0.5,0,1,7.5,0,0,0,0,4,1,1,1,1
2,https___data.who.int_dashboards_covid19_data.json,1,1,2.5,1,0.5,0,1,6.5,0,0,0,0,3,1,0,1,1
3,http___doi.org_10.1594_PANGAEA.908011.json,3,3,7.0,2,2.0,1,2,22.0,4,2,1,1,8,3,2,1,2
4,https___data.rivm.nl_meta_srv_eng_rdf.metadata.get?uuid=1c0fcd57-1102-4620-9cfa-441e93ea5604&approved=true.json,2,2,2.5,1,0.5,1,0,10.5,2,1,1,0,4,1,0,1,2
5,https___hpo.jax.org.json,1,1,2.5,1,0.5,0,1,4.5,0,0,0,0,1,0,0,0,1
6,https___moodle.polytechnique.fr_course_index.php?categoryid=1018.json,0,0,1.0,1,0.0,0,0,1.0,0,0,0,0,0,0,0,0,0
7,https___dataverse.harvard.edu_dataset.xhtml?persistentId=doi_10.7910_DVN_JGO6VI.json,2,2,7.0,2,2.0,1,2,18.0,3,2,0,1,6,3,0,1,2
8,http___www.kaggle.com_allen-institute-for-ai_CORD-19-research-challenge.json,3,3,3.5,1,0.5,1,1,14.5,3,1,1,1,5,2,1,1,1
9,https___tess.elixir-europe.org_materials_make-your-research-fairer-with-quarto-github-and-zenodo.json,1,1,2.5,1,0.5,0,1,9.5,2,1,1,0,4,1,1,1,1
10,https___www.data.gouv.fr_en_datasets_donnees-relatives-a-lepidemie-de-covid-19-en-france-vue-densemble_.json,2,2,3.5,1,0.5,1,1,12.5,1,1,0,0,6,2,1,1,2
11,https___bio.tools_bwa.json,1,1,2.5,1,0.5,0,1,4.5,0,0,0,0,1,0,0,0,1
12,https___www.ebi.ac.uk_ols4_ontologies_go.json,1,1,2.5,1,0.5,0,1,4.5,0,0,0,0,1,0,0,0,1
