,FILE,FsF-F1-01D,FsF-F1-02D,FsF-F2-01M,FsF-F3-01M,FsF-F4-01M,FsF-I1-01M,FsF-I2-01M,FsF-I3-01M,FsF-R1-01MD,FsF-R1.1-01M,FsF-A1-01M,FsF-R1.2-01M,FsF-R1.3-01M,FsF-R1.3-02D,FsF-A1-03D,FsF-A1-02M
0,https___www.kaggle.com_datasets_imdevskp_corona-virus-report.json,1,0,0.5,1,1,1,1,1,2,1,1,1,1,0,1,1
1,https___data.opendatasoft.com_explore_dataset_donnees-hospitalieres-covid-19-dep-france@public_table_?disjunctive.countrycode_iso_3166_1_alpha3&disjunctive.nom_dep_min.json,1,0,0.5,0,1,0,0,0,1,1,0,1,1,0,0,1
2,https___data.who.int_dashboards_covid19_data.json,1,0,0.5,0,1,0,0,0,1,0,0,1,1,0,0,1
3,http___doi.org_10.1594_PANGAEA.908011.json,1,1,2.0,1,2,2,1,1,3,2,1,1,1,1,1,1
4,https___data.rivm.nl_meta_srv_eng_rdf.metadata.get?uuid=1c0fcd57-1102-4620-9cfa-441e93ea5604&approved=true.json,1,0,0.5,1,0,1,1,0,1,0,0,1,1,1,1,1
5,https___hpo.jax.org.json,1,0,0.5,0,1,0,0,0,0,0,0,0,1,0,0,1
6,https___moodle.polytechnique.fr_course_index.php?categoryid=1018.json,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,https___dataverse.harvard.edu_dataset.xhtml?persistentId=doi_10.7910_DVN_JGO6VI.json,1,1,2.0,1,2,2,0,1,3,0,0,1,1,1,1,1
8,http___www.kaggle.com_allen-institute-for-ai_CORD-19-research-challenge.json,1,0,0.5,1,1,1,1,1,2,1,1,1,1,0,1,1
9,https___tess.elixir-europe.org_materials_make-your-research-fairer-with-quarto-github-and-zenodo.json,1,0,0.5,0,1,1,1,0,1,1,0,1,1,0,0,1
10,https___www.data.gouv.fr_en_datasets_donnees-relatives-a-lepidemie-de-covid-19-en-france-vue-densemble_.json,1,0,0.5,1,1,1,0,0,2,1,0,1,1,1,1,1
11,https___bio.tools_bwa.json,1,0,0.5,0,1,0,0,0,0,0,0,0,1,0,0,1
12,https___www.ebi.ac.uk_ols4_ontologies_go.json,1,0,0.5,0,1,0,0,0,0,0,0,0,1,0,0,1
